iter	Passed	Remaining
590	4114	2847
591	4122	2840
592	4127	2832
593	4134	2825
594	4139	2817
595	4145	2810
596	4152	2802
597	4158	2795
598	4164	2787
599	4169	2779
600	4176	2772
601	4183	2765
602	4188	2757
603	4195	2750
604	4201	2743
605	4207	2735
606	4212	2727
607	4219	2720
608	4225	2712
609	4230	2705
610	4236	2697
611	4241	2689
612	4248	2682
613	4254	2674
614	4261	2667
615	4268	2660
616	4275	2654
617	4282	2646
618	4289	2640
619	4297	2634
620	4304	2626
621	4310	2619
622	4318	2613
623	4324	2605
624	4330	2598
625	4337	2591
626	4342	2583
627	4347	2575
628	4353	2567
629	4357	2558
630	4361	2550
631	4367	2542
632	4372	2534
633	4376	2526
634	4380	2518
635	4385	2509
636	4388	2500
637	4393	2493
638	4401	2486
639	4405	2478
640	4415	2472
641	4419	2464
642	4423	2456
643	4429	2448
644	4433	2439
645	4435	2430
646	4441	2423
647	4447	2415
648	4450	2406
649	4455	2398
650	4460	2391
651	4465	2383
652	4469	2375
653	4475	2367
654	4482	2360
655	4486	2352
656	4491	2344
657	4498	2338
658	4502	2330
659	4508	2322
660	4514	2315
661	4519	2307
662	4526	2300
663	4531	2292
664	4536	2285
665	4541	2277
666	4547	2270
667	4553	2263
668	4559	2256
669	4566	2249
670	4572	2241
671	4578	2234
672	4584	2227
673	4591	2220
674	4597	2213
675	4603	2206
676	4609	2199
677	4614	2191
678	4619	2183
679	4623	2175
680	4629	2168
681	4636	2161
682	4643	2155
683	4649	2148
684	4656	2141
685	4663	2134
686	4669	2127
687	4674	2120
688	4681	2112
689	4686	2105
690	4692	2098
691	4697	2090
692	4703	2083
693	4710	2076
694	4715	2069
695	4721	2062
696	4726	2054
697	4731	2047
698	4737	2040
699	4744	2033
700	4750	2026
701	4756	2019
702	4762	2012
703	4768	2005
704	4775	1998
705	4782	1991
706	4789	1984
707	4795	1977
708	4801	1970
709	4807	1963
710	4813	1956
711	4819	1949
712	4825	1942
713	4833	1936
714	4840	1929
715	4846	1922
716	4853	1915
717	4859	1908
718	4866	1901
719	4872	1895
720	4880	1888
721	4885	1881
722	4890	1873
723	4895	1866
724	4902	1859
725	4908	1852
726	4914	1845
727	4920	1838
728	4926	1831
729	4932	1824
730	4939	1817
731	4945	1810
732	4951	1803
733	4957	1796
734	4962	1789
735	4968	1782
736	4974	1775
737	4980	1768
738	4986	1760
739	4992	1754
740	4997	1746
741	5003	1739
742	5007	1732
743	5014	1725
744	5021	1718
745	5027	1711
746	5033	1704
747	5039	1697
748	5046	1691
749	5052	1684
750	5059	1677
751	5066	1670
752	5073	1664
753	5079	1657
754	5085	1650
755	5090	1643
756	5096	1636
757	5102	1629
758	5108	1621
759	5114	1614
760	5119	1607
761	5126	1601
762	5131	1594
763	5138	1587
764	5144	1580
765	5150	1573
766	5157	1566
767	5162	1559
768	5168	1552
769	5175	1545
770	5180	1538
771	5186	1531
772	5192	1524
773	5198	1517
774	5203	1510
775	5209	1503
776	5215	1496
777	5221	1490
778	5227	1483
779	5234	1476
780	5241	1469
781	5248	1463
782	5254	1456
783	5262	1449
784	5268	1443
785	5274	1436
786	5282	1429
787	5289	1423
788	5296	1416
789	5302	1409
790	5308	1402
791	5314	1395
792	5320	1388
793	5326	1381
794	5333	1375
795	5339	1368
796	5346	1361
797	5352	1354
798	5359	1348
799	5365	1341
800	5371	1334
801	5378	1327
802	5385	1321
803	5391	1314
804	5397	1307
805	5403	1300
806	5409	1293
807	5415	1286
808	5421	1280
809	5427	1273
810	5433	1266
811	5438	1259
812	5444	1252
813	5450	1245
814	5456	1238
815	5462	1231
816	5481	1227
817	5491	1221
818	5501	1215
819	5510	1209
820	5521	1203
821	5532	1197
822	5542	1191
823	5550	1185
824	5558	1179
825	5565	1172
826	5571	1165
827	5577	1158
828	5584	1151
829	5590	1145
830	5596	1138
831	5602	1131
832	5608	1124
833	5614	1117
834	5619	1110
835	5625	1103
836	5631	1096
837	5636	1089
838	5642	1082
839	5648	1075
840	5653	1068
841	5659	1061
842	5665	1055
843	5671	1048
844	5677	1041
845	5682	1034
846	5688	1027
847	5694	1020
848	5700	1013
849	5706	1006
850	5713	1000
851	5719	993
852	5726	986
853	5731	979
854	5737	973
855	5742	966
856	5747	959
857	5752	952
858	5757	945
859	5763	938
860	5768	931
861	5774	924
862	5780	917
863	5786	910
864	5792	903
865	5798	897
866	5804	890
867	5810	883
868	5816	876
869	5822	870
870	5828	863
871	5834	856
872	5841	849
873	5846	842
874	5851	835
875	5857	829
876	5863	822
877	5869	815
878	5876	808
879	5882	802
880	5889	795
881	5896	788
882	5902	782
883	5908	775
884	5914	768
885	5921	761
886	5927	755
887	5934	748
888	5941	741
889	5947	735
890	5953	728
891	5959	721
892	5964	714
893	5970	707
894	5975	701
895	5981	694
896	5986	687
897	5992	680
898	6001	674
899	6007	667
900	6012	660
901	6019	653
902	6025	647
903	6030	640
904	6036	633
905	6042	626
906	6048	620
907	6054	613
908	6060	606
909	6065	599
910	6071	593
911	6077	586
912	6083	579
913	6088	572
914	6094	566
915	6101	559
916	6107	552
917	6112	546
918	6118	539
919	6125	532
920	6131	525
921	6136	519
922	6142	512
923	6148	505
924	6154	499
925	6160	492
926	6165	485
927	6171	478
928	6176	472
929	6181	465
930	6187	458
931	6193	451
932	6198	445
933	6204	438
934	6210	431
935	6215	424
936	6221	418
937	6226	411
938	6233	404
939	6240	398
940	6246	391
941	6252	384
942	6257	378
943	6263	371
944	6268	364
945	6274	358
946	6280	351
947	6286	344
948	6291	338
949	6298	331
950	6303	324
951	6309	318
952	6315	311
953	6321	304
954	6328	298
955	6333	291
956	6340	284
957	6345	278
958	6351	271
959	6358	264
960	6364	258
961	6371	251
962	6376	245
963	6383	238
964	6388	231
965	6394	225
966	6400	218
967	6407	211
968	6413	205
969	6420	198
970	6426	191
971	6432	185
972	6438	178
973	6444	172
974	6450	165
975	6457	158
976	6463	152
977	6470	145
978	6476	138
979	6481	132
980	6487	125
981	6494	119
982	6501	112
983	6506	105
984	6512	99
985	6516	92
986	6521	85
987	6526	79
988	6529	72
989	6533	65
990	6538	59
991	6544	52
992	6548	46
993	6553	39
994	6558	32
995	6561	26
996	6565	19
997	6571	13
998	6576	6
999	6580	0
